FCIU5320218,20,GP,"OOLU4109079510                ","OOLFTS6837          ","MAZDA POWERTRAIN MANUFACTURING (THAILAND) CO.,LTD.                                                  ","21SIM-03976-00      ","                                                                                                    ","OOCL NAGOYA                                                                                         ","                    ","                    ",2021-04-19,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","635386 ",2021-04-11 10:39:42.147,"P021      ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","635389 ",2021-04-19 15:37:17.190
DFSU7238972,40,HC,"OOLU4109079520                ","OOLFTS6819          ","MAZDA POWERTRAIN MANUFACTURING (THAILAND) CO.,LTD.                                                  ","21SIM-03977-00      ","                                                                                                    ","OOCL NAGOYA                                                                                         ","                    ","                    ",2021-04-20,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","738347 ",2021-04-10 16:42:13.307,"ZI012     ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","648594 ",2021-04-19 15:23:28.837
SEGU4920599,40,HC,"OOLU4109079540                ","OOLFTS6816          ","MAZDA POWERTRAIN MANUFACTURING (THAILAND) CO.,LTD.                                                  ","21SIM-03979-00      ","                                                                                                    ","OOCL NAGOYA                                                                                         ","                    ","                    ",2021-04-19,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ",6236006,2021-04-10 11:45:54.800,"ZF021     ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","648594 ",2021-04-19 12:27:39.620
OOLU6912728,40,HC,"OOLU4109079530                ","OOLFTS6894          ","MAZDA POWERTRAIN MANUFACTURING (THAILAND) CO.,LTD.                                                  ","21SIM-03978-00      ","                                                                                                    ","OOCL NAGOYA                                                                                         ","                    ","                    ",2021-04-19,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","655455 ",2021-04-10 12:31:06.623,"G011      ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","604244 ",2021-04-19 11:11:43.253
CCLU7057817,40,HC,"OOLU4109079520                ","OOLFTS6818          ","MAZDA POWERTRAIN MANUFACTURING (THAILAND) CO.,LTD.                                                  ","21SIM-03977-00      ","                                                                                                    ","OOCL NAGOYA                                                                                         ","                    ","                    ",2021-04-20,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","738408 ",2021-04-10 16:52:30.123,"ZI022     ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","759241 ",2021-04-19 10:44:20.760
CBHU7001931,40,HC,"OOLU4109079530                ","OOLFTS6814          ","MAZDA POWERTRAIN MANUFACTURING (THAILAND) CO.,LTD.                                                  ","21SIM-03978-00      ","                                                                                                    ","OOCL NAGOYA                                                                                         ","                    ","                    ",2021-04-19,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","738342 ",2021-04-11 08:18:12.850,"G012      ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","761561 ",2021-04-19 10:28:32.323
BMOU5000237,40,HC,"EGLV090100070715              ","EMCHEG0240          ","MAZDA POWERTRAIN MANUFACTURING (THAILAND) CO.,LTD.                                                  ","21SIM-04777-00      ","                                                                                                    ","HAPPY LUCKY                                                                                         ","                    ","                    ",2021-04-19,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","774752 ",2021-04-17 10:16:26.497,"M021      ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","780594 ",2021-04-17 14:55:46.400
OOLU9654247,40,HC,"OOLU4109755760                ","034645              ","SIAM TOYOTA MANUFACTURING CO.,LTD. (HEAD OFFICE)                                                    ","21SIM-02711-00      ","                                                                                                    ","OOCL NAGOYA 148S                                                                                    ","                    ","                    ",2021-04-19,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","635391 ",2021-03-25 10:51:33.667,"X011      ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","641069 ",2021-04-17 14:29:10.980
MSLU9182022,40,HC,"TLTCLCJU21051201              ","MSL1139772          ","MAZDA POWERTRAIN MANUFACTURING (THAILAND) CO.,LTD.                                                  ","21SIM-03784-00      ","                                                                                                    ","JOSCO LUCKY                                                                                         ","                    ","                    ",2021-04-18,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","759139 ",2021-04-17 07:13:40.460,"J012      ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","648600 ",2021-04-17 11:48:58.280
MSLU9182613,40,HC,"TLTCLCJU21051202              ","MSL1139770          ","MAZDA POWERTRAIN MANUFACTURING (THAILAND) CO.,LTD.                                                  ","21SIM-03785-00      ","                                                                                                    ","JOSCO LUCKY                                                                                         ","                    ","                    ",2021-04-18,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","635387 ",2021-04-17 09:35:32.757,"ZI031     ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","761494 ",2021-04-17 11:47:09.497
MSLU9060955,40,HC,"TLTCLCJU21051201              ","MSL1139733          ","MAZDA POWERTRAIN MANUFACTURING (THAILAND) CO.,LTD.                                                  ","21SIM-03784-00      ","                                                                                                    ","JOSCO LUCKY                                                                                         ","                    ","                    ",2021-04-18,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","780594 ",2021-04-17 07:12:51.593,"J011      ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","648594 ",2021-04-17 11:41:20.320
