BKKB58371900                  ,ONE       ,KERRY-APEX (THAILAND) CO.  LTD.                                                                                                                                                     ,          ,                                        ,                                                                                ,2021-02-20 00:00:00.000, INSTANT NOODLES ,SHPR : THAI PRESIDENT FOODS PUBLIC COMPANY LIMITED CMDT : INSTANT NOODLES :,2021-02-18 14:18:52.720
BKKB58374500                  ,ONE       ,KERRY-APEX (THAILAND) CO.  LTD.                                                                                                                                                     ,          ,                                        ,                                                                                ,2021-02-20 00:00:00.000, INSTANT NOODLES ,SHPR : THAI PRESIDENT FOODS PUBLIC COMPANY LIMITED CMDT : INSTANT NOODLES :,2021-02-18 14:18:52.747
21070034S001                  ,ONE       ,C1C2 HUTCHISON TO BCSC                                                                                                                                                              ,          ,NULL,                                                                                ,NULL,NULL,,2021-02-18 14:30:11.000
BKKB51621700                  ,ONE       ,HINO MOTORS MANUFACTURING (THAILAND) LTD.                                                                                                                                           ,          ,                                        ,                                                                                ,2021-02-20 00:00:00.000,BOXES  CASES  CRATES  OF PLASTICS,REUSED D5 X 4  GCXU5203810  TLLU5632260  ONEU0322683 TCLU8474750,2021-02-18 15:16:04.230
BKKAV9532700                  ,ONE       ,KERRY-APEX (THAILAND) CO.  LTD.                                                                                                                                                     ,          ,                                        ,                                                                                ,2021-02-19 00:00:00.000, BUILDING MATERIAL STRUCTURES  OF ALUMINUM ,SHPR : ENVELEX (THAILAND) LTD. CMDT : BUILDING MATERIAL STRUCTURES  OF ALUMINUM :,2021-02-18 16:15:28.690
BKKB00436500                  ,ONE       ,THAI ARROW PRODUCTS CO. LTD.                                                                                                                                                        ,          ,                                        ,                                                                                ,2021-02-20 00:00:00.000, WIRING HARNESS ,CMDT: WIRING HARNESS :,2021-02-18 16:15:28.710
BKKB39175300                  ,ONE       ,BDP ASIA-PACIFIC LTD.                                                                                                                                                               ,          ,                                        ,                                                                                ,2021-02-19 00:00:00.000, TIRE ,SHPR : DEESTONE CORPORATION LIMITED CMDT : TIRE :,2021-02-18 16:15:28.787
BKKB40245700                  ,ONE       ,AMANO (THAILAND) LTD.                                                                                                                                                               ,          ,                                        ,                                                                                ,2021-02-19 00:00:00.000, PARTS FOR TRANSFORMERS  HS CODE ,SHPR : HKS-IT CO. LTD. CMDT : PARTS FOR TRANSFORMERS / HS CODE : 8708.92 :,2021-02-18 16:15:28.810
BKKB52190900                  ,ONE       ,HONOUR LANE LOGISTICS CO.  LTD.                                                                                                                                                     ,          ,                                        ,                                                                                ,2021-02-23 00:00:00.000, ORGANIC TAPIOCA STARCH ,SHPR : SOUTHEAST ASIA ORGANIC CO.  LTD. CMDT : ORGANIC TAPIOCA STARCH :,2021-02-18 16:15:28.833
BKKB58735600                  ,ONE       ,KERRY-APEX (THAILAND) CO.  LTD.                                                                                                                                                     ,          ,                                        ,                                                                                ,2021-02-18 00:00:00.000, POLYESTER SPUNLACE FIBER ,GRADE A FOR FIBER NON-PALLET SHPR : ES FIBERVISIONS (THAILAND) CO. LTD. CMDT : POLYESTER SPUNLACE FIBER :,2021-02-18 17:16:44.347
BKKB41263800                  ,ONE       ,HECNY TRANSPORTATION (THAILAND) LTD                                                                                                                                                 ,          ,                                        ,                                                                                ,2021-02-19 00:00:00.000,GLOVES,SHPR : WORLD CORPORATION (THAILAND) CO. LTD CMDT :GLOVES,2021-02-18 18:16:05.727
BKKAS8399900                  ,ONE       ,DSV AIR & SEA LTD.                                                                                                                                                                  ,          ,                                        ,                                                                                ,2021-02-22 00:00:00.000, MARGARINE  EXCL. LIQUID MARGARINE ,SUBJECT TO ROLL OVER SHPR : LAM SOON (THAILAND) PUBLIC COMPANY LIMITED. CMDT : MARGARINE  EXCL. LIQUID MARGARINE : 2ND VSL: BDET0167N,2021-02-19 09:20:25.630
BKKAV8050800                  ,ONE       ,INTERNATIONAL LABORATORIES CORP.  LTD.                                                                                                                                              ,          ,                                        ,                                                                                ,2021-02-25 00:00:00.000, LIP MAKE-UP PREPARATIONS ,CMDT : LIP MAKE-UP PREPARATIONS :,2021-02-19 09:20:25.650
BKKAW1709600                  ,ONE       ,HONOUR LANE LOGISTICS CO.  LTD.                                                                                                                                                     ,          ,                                        ,                                                                                ,2021-02-22 00:00:00.000, TYRE ,SHPR : DEESTONE CORPORATION LIMITED CMDT : TYRE :,2021-02-19 09:20:25.677
BKKB05010500                  ,ONE       ,PATAYA FOOD INDUSTRIES LIMITED                                                                                                                                                      ,          ,                                        ,                                                                                ,2021-02-22 00:00:00.000,CANNED GOODS,CMDT :CANNED GOODS:,2021-02-19 09:20:25.857
BKKB08415300                  ,ONE       ,DD GLOBAL SERVICE  CO.  LTD.                                                                                                                                                        ,          ,                                        ,                                                                                ,2021-02-22 00:00:00.000, FOODSTUFFS  N.O.S. ,SHPR : GRIFFITH FOODS LTD. CMDT : FOODSTUFFS  N.O.S. :,2021-02-19 09:20:25.903
BKKB08814600                  ,ONE       ,UNIVERSAL RICE CO.  LTD.                                                                                                                                                            ,          ,                                        ,                                                                                ,2021-02-22 00:00:00.000, RICE (SHORT  MEDIUM OR LONG GRAIN)  SEMI OR WHOLLY MILLED ,CONTAINER FOOD GRADE OR B+ CMDT : RICE (SHORT  MEDIUM OR LONG GRAIN)  SEMI OR WHOLLY MILLED :,2021-02-19 09:20:25.930
